id,title,description,price,area_m2,price_per_m2,region,district,ward,street,lat,lng,property_type,category,post_time,images,crawl_timestamp,source
44830269,"Bán CC HPC Landmark 105, 10 tỷ VND, 143m2, 3PN, 2WC, La Khê, Hà Đông, HN giá cực tốt LH 0386 217 ***","Thông tin mô tả
Nằm ở HPC Landmark 105, La Khê, Hà Đông, Hà Nội, căn hộ này có diện tích rộng 143m² với 3PN và 2WC, phù hợp cho những ai thích không gian sống thoải mái. Nội thất đầy đủ, chỉ việc xách vali vào ở ngay. Căn hộ hướng Tây Bắc, ban công Đông Nam, giúp đón gió và ánh sáng tự nhiên. Pháp lý đầy đủ, sổ đỏ sẵn sàng.

+ Nội thất: Bếp, sofa, giường, tủ lạnh, máy giặt, điều hòa.
+ Phong thủy tốt, mang lại may mắn cho gia chủ.

Địa điểm xung quanh:
+ Siêu thị Đức Thành.
+ Công viên An Hưng.
+ Công viên Thiên Văn Học.

Liên hệ để được tư vấn miễn phí qua số điện thoại 0386 217 *** với Vũ Đình Tùng.",10000000000,143.0,69930069.93006992,Hà Nội,Hà Đông,Căn hộ chung cư tại HPC Landmark 105,Phường La Khê,20.973249401072696,105.75898833129989,,1010,1768496400000,22,1768885026344,batdongsan.com.vn
44824610,"Bán CC 3PN, 2WC ảnh thật, giá 9,2 tỷ, 105m2 tại MHD Trung Văn, Tố Hữu, sẵn sổ LH 0386 217 ***","Thông tin mô tả
CC tại MHD Trung Văn, Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội, cực chill cho những ai muốn tìm nơi an cư. Với diện tích 105m², căn hộ này có 3PN, 2WC, đầy đủ nội thất như sofa, giường ngủ, tủ lạnh, bếp và máy giặt.

Giá 9,2 tỷ VND, pháp lý đầy đủ, không lo rắc rối. Hướng cửa chính Tây Bắc, ban công Đông Nam, mang lại phong thủy tốt cho gia chủ.

Địa điểm xung quanh:
+ Bệnh viện Đại học Y Dược
+ Công viên Phùng Khoang
+ Winmart Trung Hòa
+ Học viện Chính trị khu vực I

Liên hệ ngay để biết thêm chi tiết 0386 217 *** Vũ Đình Tùng.",9200000000,105.0,87619047.61904761,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại MHD Trung Văn,Tố Hữu,20.991839670547517,105.78548057001896,,1010,1767632400000,8,1768885029403,batdongsan.com.vn
45014934,"Bán nhà Khuyến Lương, 45m2x6T thang máy - sát Gamuda - Ô tô đỗ cửa - Nội thất xịn, 9.5 tỷ","Thông tin mô tả
chính chủ gửi bán nhà Khuyến Lương, hàng xóm Gamuda xây tâm huyết để ở.
Gia đình chú chủ nhà xây cho con trai nhưng nay em đi du học Pháp nên quyết định nhượng lại căn nhà tâm huyết tại Khuyến Lương, Hoàng Mai. Nhà đang hoàn thiện 96%, chỉ 2 tuần nữa là xách vali về ở đón Tết.
- Thông số vàng: Diện tích sổ đỏ 40m² (Thực tế sử dụng 45m²), xây 6 tầng thang máy xịn sò. Mặt tiền bề thế, sổ vuông đẹp nở hậu.
+ Thiết kế hiện đại:
- T1: Gara để xe, phòng khách, WC.
- T2: Không gian bếp ấm cúng, đẳng cấp.
- T3,4,5: Mỗi tầng 1 phòng Master siêu rộng, thoáng sáng.
- T6: Phòng thờ, sân phơi view thoáng.
1. Vị trí & Kết nối:
- Hưởng trọn tiện ích 5 sao từ Gamuda Gardens: Công viên, trường quốc tế SIS, Tiểu Học, Trung Học Cơ Sở Chất Lượng Cao Hoàng Mai, Clubhouse ngay cạnh nhà.
- Kết nối thuận tiện ra Vành Đai 3, cầu Thanh Trì đi các tỉnh phía Đông/Nam.
- Lưu ý: Đường Tam Trinh, Lĩnh Nam giờ cao điểm hơi đông, lối vào Khuyến Lương hơi lắt léo nhưng bù lại ô tô lùi cửa, cực yên tĩnh.
2. Giá trị sử dụng & Tiềm năng:
- Ưu điểm: Nhà xây để ở nên cực chắc chắn, nội thất ""hàng hiệu"". Vùng đệm sát Gamuda nhưng giá mềm hơn nhiều so với biệt thự trong lõi.
- Tiềm năng: Đón đầu quy hoạch mở rộng đường Lĩnh Nam, Tam Trinh và các dự án lớn của Geleximco, Vinhomes. Biên tăng giá kỳ vọng 15 - 20% khi hạ tầng khớp nối.
- Dòng tiền: Phù hợp cho thuê làm văn phòng hoặc chuyên gia ở (kỳ vọng 15 - 18tr/tháng).
3. Đối tượng phù hợp:
- Gia đình có con học trường quốc tế, Chất Lượng Cao Hoàng Mai quanh Gamuda, Tiểu Học, Mầm Non Trần Phú, THPT Hoàng Văn Thụ.
- Người thích sống hưởng thụ, an ninh tốt, hàng xóm tri thức (giám đốc, công chức).
- Không phù hợp: Nhà đầu tư lướt sóng ngắn hạn hoặc người làm việc sâu trong lõi Hoàn Kiếm/Ba Đình ngại di chuyển xa.
- Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.
- Giá bán: 9,5 tỷ (Có thương lượng).
Liên hệ xem nhà: Tuấn thổ cư - 0936 082 *** (hỗ trợ miễn phí pháp lý, quy hoạch, vay vốn 24/7).",9500000000,45.0,211111111.1111111,Hà Nội,Hoàng Mai,Nhà riêng tại đường Khuyến Lương,Phường Trần Phú,20.9714804520083,105.884570109163,,1020,1768237200000,12,1768885032833,batdongsan.com.vn
44993278,"Bán nhà Khuyến Lương, Hoàng Mai 35m2 X 5T, ngõ thông, ô tô sát nhà, full đồ, 6.7 tỷ","Thông tin mô tả
Chính chủ gửi bán nhà mới ""coong"" tại Khuyến Lương - xách vali về ở ngay.
Gia đình cần bán gấp căn nhà tâm huyết tại ngõ 22 Khuyến Lương, phường Trần Phú, Hoàng Mai. Vị trí đắc địa, ngõ thông thoáng, sát vách các khu đô thị lớn.
- Diện tích: 35m² x 5 tầng (sổ đỏ 30m²).
+ Thiết kế hiện đại:
- Tầng 1: Phòng khách sang trọng, bếp tiện nghi, WC.
- Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ rộng, WC khép kín (Đảm bảo sự riêng tư).
- Tầng 5: Phòng thờ trang nghiêm, sân phơi thoáng gió.
- Nội thất tặng kèm: Full option gồm điều hòa, giường đệm, tủ quần áo, bàn trang điểm, bình nóng lạnh... Khách mua chỉ việc dọn đồ về ở.
+ Vị trí và tiềm năng:
- Kết nối: Cách đường ô tô tránh chỉ 5m. Kết nối cực nhanh ra Vành Đai 3, cầu Thanh Trì, Tam Trinh, Lĩnh Nam.
- Tiện ích: Hưởng trọn dịch vụ từ Gamuda Gardens và Gelexia Riverside. Gần chợ, trường học các cấp và Công viên Yên Sở.
- Hạ tầng: Đón đầu dự án mở rộng đường Tam Trinh và quy hoạch đường Lĩnh Nam Biên độ tăng giá dự kiến 15 - 20% trong 2 năm tới.
+ Đánh giá khách quan:
- Ưu điểm: Nhà mới 99%, thiết kế tối ưu, ngõ thông, dân trí cao (toàn cán bộ, giảng viên).
- Nhược điểm: Giá ở mức chạm trần khu vực, trục Tam Trinh hiện tại còn hay ùn tắc giờ cao điểm. Phù hợp cho khách mua ở thực hoặc giữ tài sản dài hạn hơn là lướt sóng.
+ Pháp lý: Sổ đỏ chính chủ, vuông đẹp, sẵn sàng giao dịch. Giá bán: 6.7 tỷ (có thương lượng cho khách thiện chí).
+ Liên hệ ngay: Tuấn thổ cư - 0936 082 *** (tư vấn pháp lý, quy hoạch, hỗ trợ vay ngân hàng miễn phí 100%).",6680000000,35.0,190857142.85714287,Hà Nội,Hoàng Mai,Nhà riêng tại đường Khuyến Lương,Phường Trần Phú,20.9713923107401,105.884442404243,,1020,1767891600000,5,1768885036035,batdongsan.com.vn
44964690,Bán nhà Tam Trinh 48m2 thang máy - MT 5.2m cực hiếm - Sát Times City - 10.85 tỷ,"Thông tin mô tả
Chính chủ gửi bán căn nhà phố Tam Trinh, vị trí cực đẹp ngay sát nút giao Minh Khai - Cầu Mai Động. Nhà mới, thiết kế hiện đại, phù hợp cho gia đình ở lâu dài hoặc làm văn phòng công ty.
- Thông số chuẩn: Diện tích 43m² (sử dụng thực tế 48m²), mặt tiền rộng 5.2m (rất hiếm trong phân khúc).
+ Thiết kế 4 tầng Thang Máy:
- T1: Khu để xe, Bếp, Phòng khách, WC.
- T2: Phòng ngủ Master rộng thênh thang + Phòng thay đồ riêng.
- T3: 02 Phòng ngủ đủ đồ.
- T4: 01 Phòng ngủ, Phòng thờ, Sân cafe view thoáng.
+ Vị trí & Tiện ích: Ngõ thông bàn cờ ra Lĩnh Nam, đường trước nhà thẳng tắp. Cách mặt phố Tam Trinh chỉ 60m. Hưởng trọn tiện ích Times City, Vinmec, ĐH Kinh Tế Kỹ Thuật...
+ Điểm cộng: Dân trí cao (toàn cán bộ, giảng viên), an ninh camera 24/7. Sổ đỏ nở hậu, sẵn sàng sang tên.
+ Điểm cần lưu ý: Đường Tam Trinh đang mở rộng nên hiện tại hơi bụi và ồn vào giờ cao điểm, nhưng đây cũng là cơ hội để tăng giá mạnh khi hạ tầng hoàn thiện (dự kiến tăng 15 - 25%).
+ Giá bán: 10,85 tỷ (Có thương lượng cho khách thiện chí). Liên hệ: Tuấn Thổ Cư 0936 082 *** (Tư vấn pháp lý & xem nhà miễn phí).",10850000000,48.0,226041666.66666666,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tam Trinh,Phường Mai Động,20.9910125930712,105.863096623292,,1020,1767632400000,9,1768885043037,batdongsan.com.vn
44904663,"Bán nhà Tam Trinh, 55m2 - 5 tầng thang máy - 8 phòng - 60m ra phố - 12.86 tỷ","Thông tin mô tả
Tôi cần bán căn nhà xây mới Phố Tam Trinh, phường Yên Sở. Đây là lựa chọn phù hợp cho anh chị đang tìm kiếm một bất động sản ""vừa ở vừa kinh doanh"" hoặc giữ tiền có dòng tiền hàng tháng ổn định.
1. Thông số thực tế & thiết kế.
- Diện tích: 55m² (Sổ đỏ 51m² chính chủ, vuông vắn, nở hậu nhẹ).
- Xây dựng: 5 tầng + 1 tum (mái tôn chống nóng), xây mới 100%.
- Tiện ích nội khu: Trang bị thang máy hiện đại, êm ái.
- Bố trí công năng: Tầng 1: Phòng khách, bếp, vệ sinh.
- Tầng 2, 3, 4: Mỗi tầng 2 phòng ngủ khép kín.
- Tầng 5: 2 phòng ngủ + sân phơi.
- Tổng 8 phòng ngủ: Rất thoáng vì sau nhà có khe thoáng 50cm.
2. Vị trí & kết nối.
- Vị trí: Cách mặt phố Tam Trinh chỉ 60m. Ngõ nông, giao thông cực kỳ thuận tiện.
- Kết nối: Nằm tại trục xương sống nối Vành đai 2 và Vành đai 3. Chỉ mất 5 - 10 phút để di chuyển ra Kim Đồng, Tân Mai, Giải Phóng.
- Môi trường sống: Khu vực dân trí cao (cán bộ, giảng viên, chủ doanh nghiệp), an ninh có camera 24/24, yên tĩnh, tách biệt hoàn toàn tiếng ồn mặt phố.
3. Đánh giá khách quan (Ưu & nhược điểm).
+ Ưu điểm:
- Dòng tiền hiển hiện: Với 8 phòng khép kín, anh chị có thể tự vận hành cho thuê đạt khoảng 30 - 35 triệu/tháng.
- Tiềm năng tăng giá: Đường Tam Trinh đang trong quá trình mở rộng 40m. Khi hạ tầng hoàn thiện, giá trị đất khu vực này chắc chắn sẽ có biên độ tăng mạnh.
- Tiện ích xanh: Gần Công viên Yên Sở, Metro Hoàng Mai, không khí trong lành.
+ Nhược điểm:
Hiện tại đường Tam Trinh đang thi công nên đôi khi có bụi và mật độ giao thông giờ cao điểm hơi đông. Tuy nhiên, đây chính là ""thời điểm vàng"" để mua được giá tốt trước khi đường làm xong.
4. Pháp lý & giá bán.
- Giá bán: 12,86 tỷ (Có thương lượng cho khách thiện chí).
- Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Hỗ trợ vay ngân hàng nếu khách có nhu cầu.
+ Liên hệ xem nhà trực tiếp: Mr. Tuấn thổ cư: 0936 082 *** (Miễn phí 100% dịch vụ: Tư vấn pháp lý, kiểm tra quy hoạch, hỗ trợ thủ tục vay vốn).",12860000000,55.0,233818181.8181818,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tam Trinh,Phường Yên Sở,20.9733181018843,105.866184695576,,1020,1768150800000,12,1768885047765,batdongsan.com.vn
44864787,"Bán tòa nhà Yên Duyên, 70/75m2, 7 tầng thang máy, 18 phòng thu 1 tỷ/năm - giá rẻ 18.65 tỷ","Thông tin mô tả
Bán tòa nhà căn hộ dịch vụ xây mới tại Yên Duyên Yên Sở Hoàng Mai, phù hợp khách mua đầu tư giữ tiền, tạo dòng tiền ổn định dài hạn.
+ Thông tin thực tế:
- Diện tích: 70/75m², mặt tiền 5.7m, đất vuông vắn.
- Kết cấu: 7 tầng có thang máy.
- Công năng: 18 căn hộ khép kín, full nội thất, máy giặt riêng từng phòng.
- Doanh thu hiện tại: ~1 tỷ/năm.
- Có hợp đồng thuê tổng ~60 triệu/tháng, bên thuê tự chịu chi phí sửa chữa trong thời gian thuê.
+ Vị trí & giao thông:
- Nhà mặt ngõ thông, ô tô VF3 qua, cách phố Yên Duyên ~50m.
- Ngõ trước nhà hơn 3m, thông nhiều hướng.
- Gần KĐT Gamuda, sát trục Tam Trinh đang mở rộng 40m, khu vực kết nối nhanh Minh Khai Vành đai 2.5 Vành đai 3.
- Bán kính 1km đầy đủ tiện ích: Chợ Yên Sở, siêu thị, trường học, bệnh viện.
- Bán kính 5km nhiều trường ĐH lớn (KTQD, Xây Dựng, Bách Khoa) nguồn khách thuê ổn định.
+ Pháp lý & an toàn:
- Sổ đỏ chính chủ, sẵn sàng giao dịch.
- Hệ thống PCCC đầy đủ, đạt tiêu chuẩn: Báo khói báo nhiệt từng phòng, sprinkler, cửa chống cháy từng tầng, lối thoát hiểm tách biệt.
+ Đánh giá thẳng thắn:
Ưu điểm.
- Nhà mới, vận hành sẵn, không cần đầu tư thêm.
- Dòng tiền rõ ràng, phù hợp giữ tài sản trong giai đoạn trung dài hạn.
- Khu vực đang hưởng lợi mạnh từ hạ tầng, tiềm năng tăng giá vốn tốt.
Nhược điểm.
- Không nằm mặt phố lớn nên không phù hợp kinh doanh bán lẻ.
- Dòng tiền tốt nhưng cần quản lý cho thuê chuyên nghiệp để tối ưu.
- Phù hợp khách đầu tư tìm tài sản dòng tiền thật, pháp lý sạch, kỳ vọng tăng giá theo hạ tầng khu Nam Hà Nội.
+ Liên hệ trực tiếp Tuấn Thổ Cư 0936 082 *** để xem nhà thực tế tư vấn trung thực hỗ trợ pháp lý đầy đủ.",18650000000,70.0,266428571.42857143,Hà Nội,Hoàng Mai,Nhà riêng tại phố Yên Duyên,Phường Yên Sở,20.9724585196081,105.868556680367,,1020,1767718800000,7,1768885060428,batdongsan.com.vn
44682510,Bán nhà Tam Trinh - Sở Thượng - 48m2 x 5 tầng - Sân riêng - Sát công viên Yên Sở - 7.15 Tỷ,"Thông tin mô tả
Nếu anh/chị đang tìm một ngôi nhà vừa đủ yên tĩnh để ở, vừa có tiềm năng tăng giá mạnh khi hạ tầng hoàn thiện, thì căn nhà tại phố Tam Trinh - Sở Thượng (Yên Sở) này là lựa chọn rất đáng cân nhắc.
1. Thông số thực tế:
- Diện tích: 48m² | Mặt tiền: 4.6m (Rất thoáng, dễ kê đồ).
- Xây dựng: 5 tầng xây mới (móng cọc bê tông, cột tường riêng biệt, cực kỳ kiên cố).
- Thiết kế: 3 phòng ngủ đầy đủ công năng, tối ưu diện tích.
- Tiện ích riêng: Có sân để xe riêng thuộc chủ quyền sổ đỏ (an toàn, sạch nhà).
2. Vị trí và Tiện ích:
- Vị trí: Ngõ thông, nông, chỉ vài chục mét ra mặt phố. Sát cạnh ""lá phổi xanh"" Công viên Yên Sở.
- Kết nối: Thuận tiện ra Vành đai 3, cao tốc Pháp Vân. Nằm trong lõi các tuyến phố trọng điểm: Tam Trinh, Lĩnh Nam, Kim Đồng, Tân Mai.
- Dân trí: Khu vực toàn cán bộ hưu trí, giảng viên, công chức. An ninh có camera 24/7, không gian sống tĩnh mịch, tách biệt khói bụi.
3. Đánh giá khách quan (Ưu & Nhược điểm):
+ Ưu điểm:
- Sổ đỏ ""hoa hậu"": Pháp lý sạch, diện tích sân riêng nằm trong sổ là điểm cộng lớn.
- Cú hích hạ tầng: Đường Tam Trinh và Lĩnh Nam đang mở rộng (dự kiến xong 2026). Đây là thời điểm ""vàng"" để mua trước khi giá bùng nổ.
- Dòng tiền: Có thể cho thuê ngay 12 - 18 triệu/tháng nếu khách chưa có nhu cầu ở.
+ Nhược điểm:
- Hiện tại trục Tam Trinh đang thi công nên giờ cao điểm có thể hơi bụi và ùn tắc cục bộ. Tuy nhiên, khi hoàn thiện (mặt cắt 40m), giá trị nhà sẽ khác hẳn hiện tại.
4. Giá bán và Liên hệ:
- Giá: 7.15 tỷ (Có thương lượng cho khách thiện chí).
- Liên hệ: Em Tuấn Thổ Cư - 0936 082 *** (Xem nhà trực tiếp và tư vấn pháp lý/quy hoạch miễn phí 100%).",7150000000,48.0,148958333.33333334,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tam Trinh,Phường Yên Sở,20.9735545393991,105.866302011021,,1020,1768410000000,8,1768885063635,batdongsan.com.vn
44752005,Bán căn hộ chung cư Vimeco Tú Mỡ 136m2. Giá 10.850 tỷ,"Thông tin mô tả
Bán căn hộ chung cư Vimeco Tú Mỡ 136m². Giá 10.850 tỷ.
Nhà như ảnh đăng, full nội thất. Gồm 2 ngủ và 1 phòng để đồ, 2 WC. Căn góc 2 ban công.
Có slot ô tô.
Sổ đỏ chính chủ. Liên hệ 0963 417 *** để xem nhà.",10850000000,136.0,79779411.76470588,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vimeco Phạm Hùng,Đường Tú Mỡ,21.008565267205164,105.78991080138731,,1010,1768410000000,3,1768885071035,batdongsan.com.vn
45060138,Cực hot! Chính chủ bán nhanh siêu phẩm đất Lục Quân - giá siêu mềm - cơ hội vàng cuối năm,"Thông tin mô tả
Đất Lục Quân vị trí chiến lược - hạ tầng phát triển - giá siêu mềm.

Vị trí đắc địa:

- Cách QL21 và ngã tư Lục Quân 300m, trục đường kết nối nhanh về Trung tâm Hoà Lạc, con đường kết nối giữa 3 thành phố vệ tinh Xuân Mai - Hoà Lạc - Sơn Tây.
- Chỉ 5p ra Sân bay Hoà Lạc và Sân Golf Đồng Mô.
- Gần Trường Sỹ quan Lục Quân.
- Gần trục đường Hồ Tây - Ba Vì.
- Gần Đại học Quốc gia Hoà Lạc, khu Công nghệ cao, FPT, Viettel,..
- Khu dân cư hiện hữu đông đúc, an ninh tốt.

Thông tin:

- Diện tích 105,1m² đất đẹp vuông vắn, full thổ cư, sẵn sổ, pháp lý rõ ràng, minh bạch.
- Đường nội khu 2 ô tô tránh.
- Hướng đất phong thủy tốt.

Giá siêu mềm chỉ có 3tỷ9, có chính sách tốt dành riêng khách hàng thiện chí đến ngày 25/01.
Liên hệ ngay em Vân 0987 997 *** để nhận chính sách tốt nhất và hỗ trợ dẫn đi xem đất miễn phí.",3900000000,105.1,37107516.65080876,Hà Nội,Sơn Tây,Bán đất tại đường 916,Xã Cổ Đông,21.0456475955044,105.506828743694,,1040,1768755600000,10,1768885074749,batdongsan.com.vn
44924257,Chính chủ bán căn hộ chung cư MHDI Học Viện Kỹ Thuật Quân Sự đường Hoàng Quốc Việt 125m 12.8tỷ,"Thông tin mô tả
Chính chủ Bán căn hộ chung cư MHDI Học Viện Kỹ Thuật Quân Sự đường Hoàng Quốc Việt 125m.
Giá chào có thương lượng nhiều cho khách mua 12.8tỷ.
* Diện tích thông thủy 125m² tim tường 117.7m².
Gồm 3 ngủ, 2wc, phòng khách, bếp, căn góc hướng mát View Hồ Tây. Ảnh đăng là ảnh thật căn hộ.
Sổ đỏ chính chủ. Liên hệ 0982 152 *** để xem nhà.",12800000000,125.0,102400000.0,Hà Nội,Cầu Giấy,Căn hộ chung cư tại đường Hoàng Quốc Việt,Phường Nghĩa Đô,21.0460339767973,105.799357336456,,1010,1768410000000,3,1768885088897,batdongsan.com.vn
